Date,Open,High,Low,Close,Adj Close,Volume
2020-05-22,0.680000,0.700000,0.670000,0.680000,0.680000,325800
2020-05-25,0.670000,0.710000,0.670000,0.710000,0.710000,386900
2020-05-26,0.700000,0.810000,0.700000,0.810000,0.810000,6170600
2020-05-27,0.860000,0.880000,0.800000,0.840000,0.840000,12214700
2020-05-28,0.830000,0.830000,0.780000,0.780000,0.780000,2048300
2020-05-29,0.770000,0.780000,0.750000,0.750000,0.750000,799500
2020-06-01,0.770000,0.790000,0.760000,0.780000,0.780000,896700
2020-06-02,0.790000,0.790000,0.770000,0.770000,0.770000,833000
2020-06-04,0.790000,0.800000,0.780000,0.780000,0.780000,451200
2020-06-05,0.780000,0.810000,0.770000,0.790000,0.790000,944100
2020-06-08,0.800000,0.820000,0.780000,0.790000,0.790000,1285500
2020-06-09,0.800000,0.800000,0.770000,0.770000,0.770000,168000
2020-06-10,0.770000,0.780000,0.760000,0.770000,0.770000,630700
2020-06-11,0.770000,0.780000,0.750000,0.760000,0.760000,818400
2020-06-12,0.750000,0.760000,0.730000,0.750000,0.750000,513300
2020-06-15,0.740000,0.770000,0.730000,0.730000,0.730000,356600
2020-06-16,0.750000,0.750000,0.730000,0.730000,0.730000,297900
2020-06-17,0.740000,0.750000,0.740000,0.750000,0.750000,116400
2020-06-18,0.750000,0.780000,0.740000,0.770000,0.770000,292300
2020-06-19,0.780000,0.780000,0.760000,0.760000,0.760000,163100
2020-06-22,0.760000,0.770000,0.740000,0.750000,0.750000,234500
2020-06-23,0.740000,0.760000,0.740000,0.760000,0.760000,62600
2020-06-24,0.760000,0.770000,0.740000,0.740000,0.740000,131100
2020-06-25,0.740000,0.740000,0.720000,0.740000,0.740000,393300
2020-06-26,0.740000,0.740000,0.730000,0.740000,0.740000,254800
2020-06-29,0.740000,0.740000,0.720000,0.740000,0.740000,75000
2020-06-30,0.740000,0.740000,0.730000,0.730000,0.730000,434900
2020-07-01,0.730000,0.730000,0.720000,0.730000,0.730000,43100
